Brand,Nama Produk,Jenis Produk,Untuk Kulit,Masalah Kulit,Ukuran,Tipe Bahan Aktif,Keamanan Bumil & Busui,Rekomendasi Bumil & Busui,Batas Usia Minimal,Batas Usia Maksimal,Tahun Rilis,Kisaran Harga
Somethinc,Somethinc Miraculous Retinol Ampoule,Sunscreen,Normal,Kusam,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2020,Rp69.000–Rp199.000
Somethinc,Somethinc Brightening Facial Wash,Toner,Berminyak,Pori besar,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp69.000–Rp199.000
Avoskin,Avoskin Luminous Whitening Night Cream,Essence,Kombinasi,Pori besar,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp89.000–Rp250.000
The Ordinary,The Ordinary Hydra Boost,Essence,Berminyak,Dehidrasi,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp130.000–Rp220.000
Skintific,Skintific Green Tea Balancing Toner,Essence,Kering,Dehidrasi,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp35.000–Rp139.000
Sensatia Botanicals,Sensatia Botanicals Daily Sunscreen SPF 50 PA+++,Cleanser,Kering,Dehidrasi,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp125.000–Rp150.000
Emina,Emina Acne Treatment,Serum,Berminyak,Kusam,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2022,Rp18.000–Rp58.000
Avoskin,Avoskin Retinol Night Serum,Essence,Kombinasi,Pori besar,30 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2023,Rp89.000–Rp250.000
The Ordinary,The Ordinary Bakuchiol Night Cream,Moisturizer,Normal,Bekas jerawat,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp130.000–Rp220.000
Skintific,Skintific Hydrating Aloe Vera Gel,Cleanser,Kombinasi,Jerawat,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp35.000–Rp139.000
Avoskin,Avoskin Miraculous Retinol Ampoule,Cream,Kombinasi,Jerawat,30 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2022,Rp89.000–Rp250.000
Avoskin,Avoskin Bakuchiol Night Cream,Moisturizer,Berminyak,Iritasi,20 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2020,Rp89.000–Rp250.000
Somethinc,Somethinc Niacinamide 10% + Zinc 1%,Sunscreen,Berminyak,Kusam,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp69.000–Rp199.000
COSRX,COSRX Luminous Whitening Night Cream,Cleanser,Sensitif,Iritasi,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp55.000–Rp256.000
Avoskin,Avoskin Vitamin C Serum,Moisturizer,Kering,Kusam,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp89.000–Rp250.000
Wardah,Wardah Luminous Whitening Night Cream,Cleanser,Berminyak,Flek hitam,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp22.000–Rp40.000
Wardah,Wardah Green Tea Balancing Toner,Toner,Normal,Dehidrasi,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp22.000–Rp40.000
Emina,Emina Tea Tree Spot Gel,Moisturizer,Sensitif,Bekas jerawat,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp18.000–Rp58.000
Somethinc,Somethinc Vitamin C Serum,Cream,Sensitif,Bekas jerawat,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
The Ordinary,The Ordinary Salicylic Acid Daily Gentle Cleanser,Sunscreen,Kombinasi,Jerawat,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp130.000–Rp220.000
Skintific,Skintific Niacinamide 10% + Zinc 1%,Essence,Sensitif,Kusam,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp35.000–Rp139.000
Scarlett,Scarlett Brightening Facial Wash,Cream,Kering,Flek hitam,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
Scarlett,Scarlett Niacinamide 10% + Zinc 1%,Essence,Sensitif,Kusam,20 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2018,Rp39.000–Rp75.000
Wardah,Wardah Retinol Night Serum,Cleanser,Sensitif,Dehidrasi,30 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp22.000–Rp40.000
Scarlett,Scarlett Hyaluronic B5 Serum,Serum,Berminyak,Pori besar,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp39.000–Rp75.000
Dear Me Beauty,Dear Me Beauty Cica Soothing Cream,Essence,Normal,Kusam,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2019,Rp83.000–Rp129.000
Avoskin,Avoskin Niacinamide 10% + Zinc 1%,Serum,Kombinasi,Kusam,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2019,Rp89.000–Rp250.000
COSRX,COSRX Retinol Night Serum,Serum,Normal,Pori besar,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp55.000–Rp256.000
Skintific,Skintific Salicylic Acid Daily Gentle Cleanser,Cream,Berminyak,Flek hitam,50 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp35.000–Rp139.000
Dear Me Beauty,Dear Me Beauty Bakuchiol Night Cream,Cream,Normal,Dehidrasi,100 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2020,Rp83.000–Rp129.000
Emina,Emina Ceramide Barrier Moisturizer,Cleanser,Normal,Kusam,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp18.000–Rp58.000
Sensatia Botanicals,Sensatia Botanicals Hyaluronic B5 Serum,Cream,Sensitif,Penuaan,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp125.000–Rp150.000
The Ordinary,The Ordinary Advanced Snail 96 Mucin Essence,Essence,Normal,Flek hitam,20 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2018,Rp130.000–Rp220.000
Wardah,Wardah Hydrating Aloe Vera Gel,Serum,Berminyak,Bekas jerawat,30 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp22.000–Rp40.000
Scarlett,Scarlett Luminous Whitening Night Cream,Toner,Kering,Pori besar,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2022,Rp39.000–Rp75.000
The Ordinary,The Ordinary Glow Boost Serum,Toner,Berminyak,Bekas jerawat,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp130.000–Rp220.000
Scarlett,Scarlett Luminous Whitening Night Cream,Moisturizer,Normal,Jerawat,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp39.000–Rp75.000
COSRX,COSRX Vitamin C Serum,Sunscreen,Kering,Dehidrasi,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp55.000–Rp256.000
Avoskin,Avoskin Ceramide Barrier Moisturizer,Cleanser,Normal,Pori besar,100 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2021,Rp89.000–Rp250.000
Somethinc,Somethinc Luminous Whitening Night Cream,Moisturizer,Berminyak,Pori besar,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
Somethinc,Somethinc Luminous Whitening Night Cream,Cream,Sensitif,Pori besar,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp69.000–Rp199.000
Scarlett,Scarlett Advanced Snail 96 Mucin Essence,Toner,Sensitif,Penuaan,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp39.000–Rp75.000
Dear Me Beauty,Dear Me Beauty Daily Sunscreen SPF 50 PA+++,Cream,Sensitif,Pori besar,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2019,Rp83.000–Rp129.000
Dear Me Beauty,Dear Me Beauty Advanced Snail 96 Mucin Essence,Sunscreen,Kering,Pori besar,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2019,Rp83.000–Rp129.000
The Ordinary,The Ordinary Cica Soothing Cream,Cream,Normal,Penuaan,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp130.000–Rp220.000
Dear Me Beauty,Dear Me Beauty Luminous Whitening Night Cream,Cream,Sensitif,Pori besar,30 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp83.000–Rp129.000
Sensatia Botanicals,Sensatia Botanicals Ceramide Barrier Moisturizer,Essence,Kombinasi,Bekas jerawat,50 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2018,Rp125.000–Rp150.000
Emina,Emina Exfoliating Toner,Serum,Sensitif,Jerawat,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp18.000–Rp58.000
Skintific,Skintific Exfoliating,Toner,Kering,Kusam,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp35.000–Rp139.000
The Ordinary,The Ordinary Hydrating Aloe Vera Gel,Serum,Sensitif,Dehidrasi,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2020,Rp130.000–Rp220.000
Avoskin,Avoskin Ceramide Barrier Moisturizer,Moisturizer,Kering,Iritasi,100 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp89.000–Rp250.000
COSRX,COSRX Bakuchiol Night,Cream,Berminyak,Penuaan,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp55.000–Rp256.000
COSRX,COSRX Daily Sunscreen SPF 50 PA+++,Sunscreen,Berminyak,Dehidrasi,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2019,Rp55.000–Rp256.000
Somethinc,Somethinc Hydrating Aloe Vera Gel,Serum,Kombinasi,Pori besar,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp69.000–Rp199.000
Wardah,Wardah Exfoliating,Toner,Kombinasi,Pori besar,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp22.000–Rp40.000
COSRX,COSRX Exfoliating Toner,Sunscreen,Berminyak,Bekas jerawat,20 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp55.000–Rp256.000
COSRX,COSRX Retinol Night,Serum,Kombinasi,Bekas jerawat,30 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp55.000–Rp256.000
Wardah,Wardah Hyaluronic B5 Serum,Toner,Normal,Iritasi,30 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp22.000–Rp40.000
Somethinc,Somethinc Salicylic Acid Daily Gentle Cleanser,Moisturizer,Kombinasi,Dehidrasi,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
Avoskin,Avoskin Acne Treatment Serum,Cream,Berminyak,Penuaan,100 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp89.000–Rp250.000
Emina,Emina Daily Sunscreen SPF 50 PA+++,Cream,Sensitif,Penuaan,100 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp18.000–Rp58.000
Avoskin,Avoskin Glow Boost Serum,Serum,Normal,Iritasi,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp89.000–Rp250.000
Dear Me Beauty,Dear Me Beauty Green Tea Balancing Toner,Cleanser,Kombinasi,Pori besar,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp83.000–Rp129.000
Scarlett,Scarlett Bakuchiol Night Cream,Cream,Kombinasi,Flek hitam,100 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp39.000–Rp75.000
Dear Me Beauty,Dear Me Beauty Vitamin C Serum,Cleanser,Sensitif,Dehidrasi,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp83.000–Rp129.000
The Ordinary,The Ordinary Ceramide Barrier Moisturizer,Essence,Kombinasi,Penuaan,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp130.000–Rp220.000
Scarlett,Scarlett Advanced Snail 96 Mucin Essence,Sunscreen,Kombinasi,Bekas jerawat,20 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp39.000–Rp75.000
Sensatia Botanicals,Sensatia Botanicals Daily Sunscreen SPF 50 PA+++,Moisturizer,Kering,Pori besar,100 ml,Niacinamide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp125.000–Rp150.000
The Ordinary,The Ordinary Miraculous Retinol Ampoule,Cream,Berminyak,Iritasi,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2021,Rp130.000–Rp220.000
COSRX,COSRX Hydra Boost Essence,Moisturizer,Kering,Flek hitam,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp55.000–Rp256.000
Somethinc,Somethinc Retinol Night Serum,Essence,Sensitif,Pori besar,30 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2023,Rp69.000–Rp199.000
Sensatia Botanicals,Sensatia Botanicals Daily Sunscreen SPF 50 PA+++,Moisturizer,Sensitif,Iritasi,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2023,Rp125.000–Rp150.000
Scarlett,Scarlett Salicylic Acid Daily Gentle Cleanser,Toner,Kombinasi,Iritasi,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2023,Rp39.000–Rp75.000
Avoskin,Avoskin Exfoliating Toner,Toner,Kombinasi,Kusam,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp89.000–Rp250.000
The Ordinary,The Ordinary Ceramide Barrier Moisturizer,Moisturizer,Normal,Iritasi,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp130.000–Rp220.000
The Ordinary,The Ordinary Green Tea Balancing,Toner,Kombinasi,Jerawat,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp130.000–Rp220.000
Wardah,Wardah Luminous Whitening Night Cream,Essence,Kombinasi,Kusam,20 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp22.000–Rp40.000
COSRX,COSRX Miraculous Retinol Ampoule,Serum,Kombinasi,Kusam,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2020,Rp55.000–Rp256.000
Scarlett,Scarlett Green Tea Balancing,Toner,Normal,Pori besar,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp39.000–Rp75.000
Wardah,Wardah Green Tea Balancing Toner,Sunscreen,Kombinasi,Jerawat,30 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2023,Rp22.000–Rp40.000
Scarlett,Scarlett Bakuchiol Night Cream,Toner,Kombinasi,Kusam,30 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2021,Rp39.000–Rp75.000
Dear Me Beauty,Dear Me Beauty Niacinamide 10% + Zinc 1%,Sunscreen,Sensitif,Jerawat,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2018,Rp83.000–Rp129.000
Avoskin,Avoskin Acne Treatment Serum,Cleanser,Normal,Pori besar,20 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2022,Rp89.000–Rp250.000
Avoskin,Avoskin Ceramide Barrier Moisturizer,Moisturizer,Berminyak,Bekas jerawat,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2021,Rp89.000–Rp250.000
Avoskin,Avoskin Ceramide Barrier Moisturizer,Essence,Sensitif,Penuaan,50 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2023,Rp89.000–Rp250.000
Scarlett,Scarlett Green Tea Balancing Toner,Essence,Sensitif,Kusam,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
The Ordinary,The Ordinary Hydrating Aloe Vera Gel,Serum,Kombinasi,Kusam,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp130.000–Rp220.000
Somethinc,Somethinc Hyaluronic B5 Serum,Cleanser,Kombinasi,Pori besar,50 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2022,Rp69.000–Rp199.000
Emina,Emina Hyaluronic B5 Serum,Toner,Normal,Penuaan,20 ml,Bakuchiol,Aman,Sangat Direkomendasikan (Alternatif Retinol),18 Tahun,Tidak Terbatas,2018,Rp18.000–Rp58.000
Avoskin,Avoskin Miraculous Retinol Ampoule,Cleanser,Berminyak,Bekas jerawat,100 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2022,Rp89.000–Rp250.000
The Ordinary,The Ordinary Hyaluronic B5 Serum,Toner,Kering,Penuaan,100 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2022,Rp130.000–Rp220.000
Wardah,Wardah Brightening Facial Wash,Toner,Berminyak,Flek hitam,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp22.000–Rp40.000
Sensatia Botanicals,Sensatia Botanicals Ceramide Barrier,Moisturizer,Berminyak,Flek hitam,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp125.000–Rp150.000
The Ordinary,The Ordinary Hydra Boost Essence,Cleanser,Kombinasi,Kusam,50 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp130.000–Rp220.000
Wardah,Wardah Hyaluronic B5 Serum,Essence,Kombinasi,Penuaan,100 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2020,Rp22.000–Rp40.000
Somethinc,Somethinc Miraculous Retinol Ampoule,Toner,Kombinasi,Flek hitam,50 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2021,Rp69.000–Rp199.000
Scarlett,Scarlett Advanced Snail 96 Mucin Essence,Toner,Kombinasi,Jerawat,50 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
Somethinc,Somethinc Vitamin C Serum,Cream,Kombinasi,Pori besar,20 ml,Hyaluronic Acid,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
Somethinc,Somethinc Exfoliating Toner,Cleanser,Sensitif,Dehidrasi,30 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp69.000–Rp199.000
Somethinc,Somethinc Vitamin C Serum,Moisturizer,Kombinasi,Kusam,20 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2018,Rp69.000–Rp199.000
Sensatia Botanicals,Sensatia Botanicals Hydrating Aloe Vera Gel,Serum,Normal,Bekas jerawat,20 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2018,Rp125.000–Rp150.000
Avoskin,Avoskin Hyaluronic B5 Serum,Serum,Kombinasi,Penuaan,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2020,Rp89.000–Rp250.000
COSRX,COSRX Vitamin C Serum,Toner,Normal,Jerawat,20 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp55.000–Rp256.000
Scarlett,Scarlett Hydrating Aloe Vera Gel,Essence,Kering,Penuaan,20 ml,Tea Tree,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2018,Rp39.000–Rp75.000
Dear Me Beauty,Dear Me Beauty Luminous Whitening Night,Cream,Berminyak,Pori besar,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp83.000–Rp129.000
Scarlett,Scarlett Hyaluronic B5,Serum,Berminyak,Bekas jerawat,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2019,Rp39.000–Rp75.000
Sensatia Botanicals,Sensatia Botanicals Miraculous Retinol Ampoule,Moisturizer,Sensitif,Flek hitam,30 ml,Salicylic Acid,Hati-hati (Konsultasi Dokter),Perlu Konsultasi Dokter (<2% Spot Only),13 Tahun,Tidak Terbatas,2023,Rp125.000–Rp150.000
Emina,Emina Daily Sunscreen SPF 50 PA+++,Essence,Kombinasi,Iritasi,50 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2023,Rp18.000–Rp58.000
Somethinc,Somethinc Advanced Snail 96 Mucin Essence,Sunscreen,Kering,Kusam,20 ml,Retinol,Tidak Aman (Dilarang Keras),Tidak Direkomendasikan / Hindari,20 Tahun,Tidak Terbatas,2023,Rp69.000–Rp199.000
Wardah,Wardah Exfoliating,Toner,Berminyak,Iritasi,30 ml,Vitamin C,Aman,Direkomendasikan,15 Tahun,Tidak Terbatas,2020,Rp22.000–Rp40.000
Scarlett,Scarlett Hydrating Aloe Vera Gel,Moisturizer,Kering,Pori besar,30 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp39.000–Rp75.000
Scarlett,Scarlett Tea Tree Spot Gel,Essence,Kering,Iritasi,100 ml,Ceramide,Aman,Direkomendasikan,11 Tahun,Tidak Terbatas,2022,Rp39.000–Rp75.000
